Grup,n,Gerçek güvende oranı,Tahmin güvende oranı,Accuracy,ROC AUC,Yanlış pozitif oranı,Yanlış negatif oranı
Erkek,178,0.6798,0.7865,0.7247,0.6504,0.5965,0.124
Kadın,171,0.3567,0.3041,0.7135,0.6961,0.1818,0.4754
